ticker,display_name,name,asset_class,instrument_type,exchange,quote_currency,point_size,price_divisor,enabled
LLY.DE,Eli Lilly and Co,Eli Lilly and Company,STOCK,REAL,XETRA,EUR,0.01,1,true
LOTB.BR,Lotus Bakeries NV,Lotus Bakeries NV,STOCK,REAL,Euronext Brussels,EUR,0.01,1,true
LYXIB.MC,Amundi IBEX35 UCITS ETF (Dist EUR),Amundi IBEX 35 UCITS ETF,ETF,REAL,BME Madrid,EUR,0.01,1,true
MIE1.F,Mitsubishi Electric Corp,Mitsubishi Electric Corporation,STOCK,REAL,XETRA,EUR,0.01,1,true
MIH.F,Mitsubishi Heavy Industries Ltd,"Mitsubishi Heavy Industries, Ltd.",STOCK,REAL,XETRA,EUR,0.01,1,true
MSE.PA,Amundi Euro Stoxx 50 UCITS ETF (Dist EUR),Amundi EURO STOXX 50 II UCITS ETF Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
MUR1.F,Murata Manufacturing Co Ltd,"Murata Manufacturing Co., Ltd.",STOCK,REAL,XETRA,EUR,0.01,1,true
NADQ.DE,"Lyxor Nasdaq-100 UCITS ETF - Acc (Dist, EUR)",Amundi Core Nasdaq-100 Swap UCITS ETF Dist,ETF,REAL,XETRA,EUR,0.01,1,true
NDX1.DE,"iShares NASDAQ-100® UCITS DE (Dist, EUR)",Nordex SE,STOCK,REAL,XETRA,EUR,0.01,1,true
P500.DE,Invesco S&P 500 UCITS (Acc EUR),Invesco S&P 500 UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
PE500.PA,"Amundi PEA S&P 500 UCITS C/D (Acc, EUR)",Amundi PEA S&P 500 Screened UCITS ETF - Acc,ETF,REAL,Euronext Paris,EUR,0.01,1,true
QDVA.DE,"iShares Edge MSCI USA Mmntm Fctr UCITS (Acc, EUR)",iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
QDVB.DE,"iShares Edge MSCI USA Qual Fctr UCITS (Acc, EUR)",iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
QDVD.DE,"iShares MSCI USA Quality Div ESG UCITS (Dist, EUR)",iShares MSCI USA Quality Dividend Advanced UCITS ETF USD (Dist),ETF,REAL,XETRA,EUR,0.01,1,true
QDVE.DE,iShares S&P 500 Information Technology Sector UCITS ETF (Acc EUR),iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
SAAB-B.ST,Saab AB - class B,Saab AB (publ),STOCK,REAL,Nasdaq Stockholm,SEK,0.01,1,true
SALM.OL,Salmar ASA,SalMar ASA,STOCK,REAL,Oslo Børs,NOK,0.01,1,true
SGAS.DE,"iShares MSCI USA ESG Screened UCITS (Acc, EUR)",iShares MSCI USA Screened UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
SMSE.L,"Invesco MSCI ope UCITS (Acc, EUR)",Leverage Shares -1x Microsoft ETP Securities,STOCK,REAL,XETRA,EUR,0.001,1,true
SPPY.DE,"SPDR S&P 500 ESG Leaders UCITS (Acc, EUR)",State Street SPDR S&P 500 Leaders UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
SPY5.DE,"SPDR S&P 500 UCITS ETF (Dist, EUR)",State Street SPDR S&P 500 UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
SPYF.DE,"SPDR FTSE UK All Share UCITS (Acc, EUR)",State Street SPDR FTSE UK All Share UCITS ETF Acc,ETF,REAL,XETRA,EUR,0.01,1,true
EXXY.DE,iShares EURO STOXX 50 UCITS ETF DE (Dist EUR),iShares Diversified Commodity Swap UCITS ETF (DE),ETF,REAL,XETRA,EUR,0.01,1,true
SXR8.DE,iShares Core S&P 500 UCITS ETF (Acc EUR),iShares Core S&P 500 UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
SXRT.DE,iShares Core EURO STOXX 50 UCITS ETF (Acc EUR),iShares VII PLC - iShares Core EURO STOXX 50 ETF EUR Acc,ETF,REAL,XETRA,EUR,0.01,1,true
SXRV.DE,iShares NASDAQ 100 UCITS ETF (Acc EUR),iShares NASDAQ 100 UCITS ETF USD (Acc),ETF,REAL,XETRA,EUR,0.01,1,true
UBU9.DE,"UBS (Irl) plc S&P 500 UCITS (Dist, EUR)",UBS Core S&P 500 UCITS ETF USD dis,ETF,REAL,XETRA,EUR,0.01,1,true
UBUT.DE,"UBS(Irl)ETFplc Factor MSCI USA Quality UETF (Dist, EUR)",UBS Factor MSCI USA Quality Screened UCITS ETF USD dis,ETF,REAL,XETRA,EUR,0.01,1,true
VAN.F,Advantest Corp,Advantest Corporation,STOCK,REAL,XETRA,EUR,0.01,1,true
VUAA.DE,"Vanguard S&P 500 UCITS ETF USD (Acc, EUR)",Vanguard S&P 500 UCITS ETF USD Accumulation,ETF,REAL,XETRA,EUR,0.01,1,true
VUSA.DE,"Vanguard S&P 500 UCITS ETF USD (Dist, EUR)",Vanguard S&P 500 UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
VX1.DE,Vertex Pharmaceuticals Inc,Vertex Pharmaceuticals Incorporated,STOCK,REAL,XETRA,EUR,0.01,1,true
WTD9.DE,"WisdomTree US Equity Income UCITS ETF (Acc, EUR)",WisdomTree US High Dividend UCITS ETF - Acc,ETF,REAL,XETRA,EUR,0.01,1,true
WTDM.DE,"WisdomTree US Quality Div Growth UCITS (Acc, EUR)",WisdomTree US Quality Dividend Growth UCITS ETF - USD Acc,ETF,REAL,XETRA,EUR,0.01,1,true
XESD.DE,"Xtrackers Spain UCITS (Dist, EUR)",Xtrackers Spain UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
XMIB.MI,"Xtrackers FTSE MIB UCITS 1D (Dist, EUR)",Xtrackers FTSE MIB UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
XNAS.DE,Xtrackers NASDAQ 100 UCITS (Acc EUR),Xtrackers NASDAQ 100 UCITS ETF 1C,ETF,REAL,XETRA,EUR,0.01,1,true
XUEN.DE,"Xtrackers MSCI USA Energy UCITS (Dist, EUR)",Xtrackers MSCI USA Energy UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
XUTC.DE,"Xtrackers MSCI USA Information Tech UCITS 1D (Dist, EUR)",Xtrackers MSCI USA Information Technology UCITS ETF 1D,ETF,REAL,XETRA,EUR,0.01,1,true
ZPDE.DE,"SPDR S&P US Energy Select Sector UCITS (Acc, EUR)",State Street SPDR S&P U.S. Energy Select Sector UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
ZPDI.DE,"SPDR S&P US Industrial Select Sector UCITS (Acc, EUR)",State Street SPDR S&P U.S. Industrials Select Sector UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
ZPDT.DE,"SPDR S&P US Technology Select Sector UCITS (Acc, EUR)",State Street SPDR S&P U.S. Technology Select Sector UCITS ETF,ETF,REAL,XETRA,EUR,0.01,1,true
